Open,High,Low,Close,Volume
325.25,332.83,324.97,663.59,7380500
331.27,333.87,329.08,666.45,5749400
329.83,330.75,326.89,657.21,6590300
328.34,328.77,323.68,648.24,5405900
322.04,322.29,309.46,620.76,11688800
313.7,315.72,307.3,621.43,8824000
310.59,313.52,309.4,624.25,4817800
314.43,315.26,312.08,627.92,3764400
311.96,312.3,309.37,623.28,4631800
314.81,314.81,311.67,626.86,3832800
312.14,315.82,309.9,631.18,5544000
319.3,319.3,314.55,637.82,12657800
294.16,294.4,289.76,584.39,21231800
291.91,293.23,290.49,583.92,6851300
292.07,292.74,287.92,579.34,6134400
287.68,288.27,282.13,567.93,10012700
284.92,286.17,281.22,566.54,6476500
284.32,289.08,283.6,578.39,7262000
287.95,288.92,285.63,576.11,4678400
290.41,290.91,286.5,578.52,4300700
291.38,291.66,288.49,579.24,4658700
291.34,292.11,289.95,583.51,4847400
294.23,297.42,292.93,594.7,6360700
296.39,304.27,295.9,607.42,7386700
302.44,303.56,300.75,605.11,4199700
303.18,304.53,301.24,608.18,3686400
304.87,306.1,303.36,609.79,4546300
302.81,302.93,300.87,604.25,4667700
304.11,305.77,303.87,610.52,3646100
304.63,304.86,301.25,608.09,3620900
305.32,305.32,300.15,603.9,4869900
300.28,303.27,297.75,604.86,5080700
301.36,302.68,300.08,602.98,4916400
300.81,307.79,300.31,612.32,4980100
304.84,307.24,302.22,606.28,3948700
302.37,302.83,299.05,604.45,4125300
302.54,304.68,301.62,608.23,3885600
302.16,305.04,301.4,607.64,3641300
303.86,308.73,302.71,616.7,5716400
308.14,311.63,306.6,616.56,6297200
309.97,311.68,307.92,620.7,4492000
309.84,310.83,309,619.55,3158300
309.06,310.08,304.55,612.57,3198400
302.89,303.27,295.81,603.3,6372500
303.39,304.45,301.8,605.14,2538400
303.88,304.61,302.04,605.48,2700900
302.84,304.81,298.88,598.61,5361100
298.88,302.37,298.51,603.49,3350400
303.24,307.77,301.64,616.09,4508300
306.35,310.23,305.58,614.3,5895700
307.15,310.59,306.27,619.43,4888300
309.29,311.79,308.87,623.33,6123800
310.4,317.45,309.46,632.24,4361800
314.28,316.84,312.46,631.76,3092400
316.12,322.49,315.07,638.23,4957600
318.06,323.19,314.32,644.28,4838400
322.09,323.04,319.25,640.83,3894800
321.3,323.53,318.58,647.55,3651900
322.31,325.53,321.2,645.25,4029400
324.8,328.07,324.32,653.96,5096700
325.5,327.07,320.95,646.63,3862900
324.66,325.52,319.3,639.48,4638700
319.19,322.54,316.23,645.15,4585400
321.5,322.77,318.13,640.86,4105000
318.03,318.31,314.37,633.41,3267300
314.94,317.03,313.11,630.59,4654700
313.07,316.48,311.48,629.11,4381600
315.58,316.07,311.11,625.14,4982500
315.8,316.81,314.47,634.22,4414300
319.98,325.35,318.93,649.23,11556300
322.57,323.28,310.61,622.89,16379700
310.34,310.74,299.71,604.41,11426700
303.14,307.69,302.37,607.9,6070400
302.89,305.26,300.28,605.79,5358900
301.71,306.98,298.38,597.66,6613800
301,303.29,296.8,594.43,6139700
295.34,298.11,294,595.96,4411900
298,302.18,297.54,599.62,3872600
300.87,304.53,300.31,608.05,3655800
304.31,307.85,303.71,613.78,4200600
306.36,307.22,304.16,613.3,3284900
305.35,306.89,299.18,603.19,4832600
300.77,304.66,298.97,602.78,4019600
299.48,302.92,299.18,605.6,3235000
303.67,306.27,303.34,609.35,3749900
301.83,302.81,297.29,595.34,4431300
296.39,304.14,296.39,605.89,4003800
301.63,307.3,299.23,611.11,5374600
302.28,307.04,299.78,607.48,4675000
305.34,306.94,303.98,611.98,3083200
304.04,306.13,301.26,603.57,4214400
299.27,303.11,299.17,602.35,3662400
301.54,306.35,300.75,609.44,4219900
307.83,313.87,306.82,627.21,9706300
315.73,317.73,309.46,621.34,6732700
311.38,315.03,297.24,598.76,11991700
299.13,306.7,298.88,612.43,6173800
305.57,305.76,296.89,599.16,6126600
299.7,303.66,297.45,607.79,6379900
303.44,304.82,298.32,602.01,3796600
299.38,299.74,293.04,589.91,7190500
296.79,298.45,293.06,592.71,5230900
292.98,294.84,290.68,586.62,3827600
293.26,293.9,288.42,579.27,5958800
284.83,285.26,283.11,569.42,6138700
284.05,289.16,283.94,577.01,4883500
286.65,287.99,282.18,568.85,4697200
287.16,289.9,285.73,578.98,4207200
292.7,292.85,287.55,576.65,3530100
286.85,289.42,286.22,578.86,2831300
291.01,291.57,282.29,566.94,5342100
283.82,284.09,278.25,563.55,6472500
279.81,282.44,278.3,559.55,3923000
279.6,281.48,277.22,557.52,4707200
279.12,281.21,277.5,562.96,6024800
280.26,286.03,278.58,569.29,5012400
285.72,291.05,285.49,579.94,4167900
288.82,288.92,285.68,575.93,4710800
288.84,288.84,280.81,563.66,4037600
282.94,284.67,281.85,569.92,4472400
282.61,282.98,277.63,559.16,3174900
280.33,282.24,278.7,563.13,2710500
282.79,285.92,281.95,567.74,3397200
281.89,282.06,277.56,562.76,3856100
286.41,288.98,285.03,578.48,5057800
289.82,290.41,287.17,578.88,3323300
288.92,293.11,287.92,586.22,2387800
293.28,298.91,293.17,594.29,4709200
295.12,295.65,290.32,584.38,4339700
291.38,293.2,289.54,584.41,3443000
293.99,295.11,288.29,580.11,3860500
287.07,287.85,281.42,569.63,7024700
282.5,284.9,280,568.92,4636800
285.01,288.49,283.21,574.94,3966700
287.11,288.51,284.82,573.35,2936100
288.14,289.25,283.14,575.15,3372700
287.41,290.76,286.99,579.17,3107900
291.98,298.12,291.91,591.44,9384300
303.24,305.33,297.97,609.15,12975800
299.12,308.02,298.01,613.82,7150000
306.35,307.81,301.04,605.91,4033800
303.02,305.54,301.55,606.33,3659600
306.35,307.28,303.88,611.68,3382900
308.29,316.31,307.6,633.22,7125900
316.84,320.1,313.57,630.57,4389700
312.96,317.06,312.94,631.24,3745100
317.46,318.56,314.51,630.95,3702900
311.59,317.82,310.54,627.03,3970100
318.81,320.66,316.88,639.57,3808300
318.61,323.48,318.42,641.06,3578000
319.7,320.93,317.05,638.79,3978300
318.33,321.73,318.06,640.47,2654200
